"Region","Brewery","Tour name","URL","Location","Price (£pp)","Notes"
"Scotland","Tennent's (Wellpark Brewery)","Tennent's Brewery Tour","https://www.tennents.com/uk/experience/tours","Glasgow, City of Glasgow","17","1.5-hour behind-the-scenes tour of Scotland's oldest lager brewery (brewing since 1500s), 18+. Runs 7 days a week. Standard from £17pp; tour + pub meal package from £47pp; accessible tours and private tours (from £300) also bookable on site."
"Scotland","BrewDog","BrewDog Brewery Tour (DogTap Ellon)","https://brewdog.com/pages/brewdog-brewery-tour","Ellon, Aberdeenshire","20","1.5-hour tour of the brewhouse, beer museum and HQ with tastings throughout, 18+. Scheduled Fri–Sun. Active production site (~40 min walking, 5 flights of stairs). 25% discount for Equity Punk shareholders."
"Scotland","Belhaven Brewery","The Belhaven Brewery Tour","https://shop.belhaven.co.uk/products/book-tours","Dunbar, East Lothian","25","Scotland's oldest working brewery (est. 1719). Explores 'The Haven' heritage area and the exclusive 'Monks Retreat' visitor pub, finishing with a tasting of ales, stout, lager and IPA. Booked online (closes 14 hrs before); walk-ins subject to availability."
"Scotland","Stewart Brewing","Brewery Tour","https://stewartbrewing.co.uk/pages/brewery-tours","Loanhead, Midlothian (Edinburgh)","20","1.5–2 hr guided tour with a welcome beer and a flight of 3 tastings (AF options). Pre-booked Thu & Fri 7pm; drop-in Sat 12–4pm. On-site Bar & Pizza Kitchen; separate 'Brew It Yourself' experience also offered."
"Scotland","Drygate Brewing Co","Drygate Brewery Tour","https://www.drygate.com/about/tours","Glasgow, City of Glasgow","20","~1-hour guided tour behind the glass of the custom brewery plus a tutored tasting of the core range, 18+. Scheduled Wed 5:30pm & 7:30pm and Sun 1pm/3pm/5pm. Max 12 per slot; wheelchair friendly. (Live tour/booking page confirmed via search; site returned 403 to automated fetch.)"
"Scotland","Bellfield Brewery","Brewery Tour & Taproom Tasting","https://www.bellfieldbrewery.com/pages/events","Abbeyhill, Edinburgh, City of Edinburgh","14","45-min tour of the brewhouse with a guided tasting of 4 beers (Scotland's leading gluten-free brewery; Scottish Brewery of the Year 2023), 18+. Runs Fri, Sat & Sun. Booked via the brewery's own taproom/events page."
"Scotland","Fyne Ales","Brewery Tour / Tasting Tour","https://www.fyneales.com/visit/brewery-tours/","Cairndow, Argyll and Bute","10","40-min family-farm brewery tour, Sat 12:30 & 3:30pm plus Sundays. Standard tour £10 (incl. half pint); Tasting Tour £15 (incl. tasting flight). Booked by email (stewart@fyneales.com) via the site. On-site Brewery Tap and shop open daily."
"Scotland","Black Isle Brewery","Brewery Tour","https://www.blackislebrewery.com/visit-us/brewery-market-garden","Munlochy, Highland (near Inverness)","","Free ~30-min tour of the organic farm brewery with a sample of a couple of beers; offered daily approx. 10am–3:30pm. Also runs paid seasonal workshops (garden, harvest, etc.). Shop Mon–Sat."
"Scotland","Arran Brewery","Brewery Tours & Tastings","https://www.arranbrewery.co.uk/pages/brewery-experiences","Brodick, Isle of Arran, North Ayrshire","","Guided tour of the brewing process ending with a tasting in the shop; includes an Arran Brewery half-pint glass to take home. Scheduled ~1pm on most weekdays; advance booking required via the site's contact page (min 2 people)."
"Scotland","Innis & Gunn","Beer Tasting Experience","https://www.innisandgunn.com/taprooms/beer-tasting","Edinburgh, City of Edinburgh (also Glasgow taprooms)","25","~90-min guided journey through the brewery's history and brewing process with any 6 x 1/3-pint beers of your choice. Available Thu–Sun, advance booking. A tasting/brewery experience rather than a walk-through production tour. (Booking page confirmed via search; automated fetch returned 404.)"
